分类: 📺央视卫视, 名称: 内蒙古卫视, 有效: 5, IPv4: 33, IPv6: 0, 最小延迟: 649 ms, 最高速率: 15.00 M/s, 平均速率: 8.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 宁夏卫视, 有效: 5, IPv4: 46, IPv6: 0, 最小延迟: 39 ms, 最高速率: 15.66 M/s, 平均速率: 7.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 青海卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 652 ms, 最高速率: 6.26 M/s, 平均速率: 5.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 山西卫视, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 602 ms, 最高速率: 23.82 M/s, 平均速率: 11.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 陕西卫视, 有效: 5, IPv4: 49, IPv6: 0, 最小延迟: 615 ms, 最高速率: 6.55 M/s, 平均速率: 6.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 四川卫视, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 432 ms, 最高速率: 6.99 M/s, 平均速率: 3.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 深圳卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 727 ms, 最高速率: 6.01 M/s, 平均速率: 3.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 三沙卫视, 有效: 4, IPv4: 26, IPv6: 0, 最小延迟: 299 ms, 最高速率: 17.56 M/s, 平均速率: 6.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视卫视, 名称: 天津卫视, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 487 ms, 最高速率: 6.42 M/s, 平均速率: 4.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 新疆卫视, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 489 ms, 最高速率: 6.30 M/s, 平均速率: 5.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 西藏卫视, 有效: 4, IPv4: 28, IPv6: 0, 最小延迟: 472 ms, 最高速率: 6.44 M/s, 平均速率: 4.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视卫视, 名称: 云南卫视, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 427 ms, 最高速率: 6.74 M/s, 平均速率: 5.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 广东卫视, 有效: 5, IPv4: 61, IPv6: 0, 最小延迟: 398 ms, 最高速率: 17.56 M/s, 平均速率: 7.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 香港卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 10065 ms, 最高速率: 0.17 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
